"VPS","PWGTP","fac"
6,78,1
6,63,1
6,64,1
6,69,1
11,53,1
6,80,1
1,193,1
6,33,1
6,124,1
6,63,1
6,69,1
1,92,1
6,65,1
6,71,1
1,29,1
6,34,1
6,63,1
1,111,1
6,75,1
1,83,1
6,68,1
6,51,1
6,69,1
6,40,1
1,95,1
6,66,1
6,111,1
6,15,1
6,58,1
11,90,1
6,85,1
11,43,1
6,106,1
11,13,1
1,160,1
6,93,1
6,71,1
6,74,1
6,164,1
6,99,1
6,106,1
11,89,1
6,71,1
11,62,1
6,101,1
6,115,1
6,63,1
6,201,1
6,15,1
6,110,1
6,66,1
11,49,1
6,76,1
1,50,1
11,63,1
6,58,1
11,22,1
6,33,1
1,73,1
6,101,1
1,80,1
6,35,1
1,123,1
6,102,1
6,66,1
1,69,1
1,74,1
6,74,1
1,302,1
6,66,1
1,205,1
1,186,1
6,103,1
6,106,1
1,42,1
11,115,1
6,13,1
11,43,1
6,70,1
6,53,1
6,143,1
6,45,1
1,83,1
11,90,1
6,62,1
6,104,1
11,68,1
11,56,1
11,196,1
11,84,1
6,96,1
1,103,1
6,100,1
6,59,1
1,29,1
6,50,1
6,60,1
6,76,1
11,100,1
6,149,1
11,116,1
6,72,1
6,118,1
6,55,1
6,61,1
6,49,1
6,61,1
1,107,1
6,60,1
11,56,1
11,88,1
1,114,1
6,117,1
1,100,1
6,58,1
6,47,1
6,99,1
6,85,1
11,61,1
6,195,1
6,197,1
1,375,1
1,199,1
1,115,1
11,108,1
1,102,1
6,12,1
1,30,1
6,57,1
6,65,1
6,67,1
6,59,1
6,79,1
6,62,1
1,105,1
6,15,1
6,54,1
1,141,1
11,82,1
6,56,1
6,69,1
6,307,1
6,63,1
6,138,1
11,67,1
11,75,1
6,65,1
1,205,1
11,101,1
1,134,1
6,63,1
6,83,1
6,47,1
6,82,1
1,179,1
6,131,1
11,44,1
1,83,1
6,133,1
1,44,1
6,71,1
6,140,1
6,63,1
6,69,1
1,59,1
11,61,1
6,37,1
6,129,1
1,86,1
6,110,1
6,23,1
6,62,1
6,44,1
11,72,1
1,67,1
6,50,1
1,223,1
6,54,1
6,53,1
6,99,1
6,60,1
11,108,1
6,41,1
6,78,1
6,46,1
6,55,1
6,52,1
11,83,1
6,48,1
1,98,1
11,58,1
6,64,1
6,59,1
6,68,1
1,84,1
11,50,1
6,44,1
1,43,1
6,16,1
11,92,1
11,47,1
6,66,1
1,106,1
6,102,1
6,94,1
6,52,1
1,96,1
6,330,1
6,50,1
6,134,1
6,76,1
11,65,1
6,172,1
6,46,1
1,90,1
6,58,1
6,55,1
6,36,1
6,61,1
6,13,1
6,44,1
6,114,1
6,191,1
6,62,1
6,92,1
11,127,1
1,60,1
1,72,1
11,35,1
6,50,1
6,144,1
11,244,1
6,108,1
1,58,1
6,52,1
6,105,1
6,56,1
6,72,1
1,248,1
6,328,1
6,67,1
6,76,1
6,75,1
1,99,1
6,158,1
1,93,1
11,62,1
6,111,1
1,126,1
1,38,1
6,52,1
1,94,1
11,54,1
6,383,1
1,63,1
6,80,1
1,70,1
1,76,1
6,70,1
11,84,1
6,95,1
6,105,1
1,80,1
11,26,1
6,105,1
11,122,1
11,63,1
6,99,1
6,30,1
6,108,1
6,70,1
11,77,1
1,49,1
6,49,1
6,38,1
6,15,1
1,61,1
11,53,1
6,267,1
1,28,1
6,123,1
1,64,1
6,64,1
11,111,1
1,84,1
1,75,1
6,51,1
11,44,1
11,20,1
6,92,1
6,43,1
6,56,1
6,54,1
1,16,1
11,109,1
6,71,1
6,108,1
1,43,1
11,122,1
11,83,1
11,84,1
6,243,1
1,78,1
6,57,1
6,117,1
6,199,1
1,83,1
1,34,1
6,161,1
6,40,1
6,73,1
6,138,1
11,101,1
11,63,1
6,68,1
6,102,1
6,42,1
1,104,1
6,116,1
6,62,1
6,68,1
1,69,1
11,75,1
6,34,1
1,168,1
1,135,1
1,52,1
1,108,1
6,51,1
6,65,1
6,50,1
6,82,1
1,53,1
6,68,1
6,61,1
6,53,1
1,42,1
11,75,1
11,51,1
1,79,1
6,46,1
6,136,1
6,66,1
6,77,1
6,58,1
6,34,1
11,12,1
11,64,1
6,59,1
6,104,1
6,64,1
1,62,1
1,30,1
6,26,1
6,68,1
6,39,1
6,71,1
6,43,1
6,57,1
6,439,1
6,67,1
6,92,1
6,103,1
6,125,1
6,26,1
6,69,1
11,67,1
6,63,1
1,121,1
6,65,1
11,28,1
6,239,1
6,79,1
6,58,1
11,40,1
6,12,1
1,47,1
6,34,1
6,100,1
6,86,1
6,82,1
11,66,1
6,57,1
1,38,1
6,201,1
6,36,1
6,56,1
11,49,1
11,66,1
11,53,1
11,57,1
6,154,1
11,73,1
6,44,1
6,69,1
6,70,1
6,94,1
6,59,1
11,92,1
6,70,1
1,268,1
6,56,1
6,56,1
6,353,1
6,36,1
1,166,1
1,112,1
6,64,1
11,96,1
6,62,1
6,106,1
6,99,1
6,97,1
1,64,1
6,62,1
6,98,1
6,33,1
1,270,1
6,51,1
6,105,1
6,53,1
6,138,1
6,116,1
6,57,1
1,135,1
6,58,1
6,49,1
6,54,1
1,104,1
6,104,1
1,76,1
6,56,1
6,72,1
6,89,1
6,72,1
6,109,1
11,50,1
11,56,1
1,117,1
6,96,1
11,69,1
1,77,1
1,140,1
6,65,1
6,14,1
1,59,1
6,94,1
6,49,1
1,81,1
1,61,1
6,59,1
6,47,1
6,81,1
11,52,1
11,83,1
6,162,1
6,69,1
6,73,1
6,53,1
6,109,1
6,26,1
6,63,1
6,64,1
6,40,1
6,57,1
6,91,1
6,106,1
6,80,1
6,44,1
6,14,1
6,30,1
6,68,1
1,116,1
6,56,1
6,60,1
6,37,1
1,77,1
6,72,1
6,57,1
6,107,1
6,59,1
6,65,1
1,48,1
6,59,1
6,77,1
6,65,1
6,131,1
1,52,1
1,113,1
6,39,1
11,38,1
6,22,1
6,57,1
6,164,1
6,78,1
6,108,1
6,63,1
6,35,1
6,7,1
6,69,1
1,56,1
11,70,1
6,62,1
6,162,1
11,100,1
6,130,1
6,53,1
6,85,1
1,89,1
6,77,1
6,123,1
6,98,1
11,75,1
6,34,1
6,44,1
6,208,1
1,171,1
6,25,1
6,50,1
6,83,1
11,67,1
11,317,1
6,95,1
6,324,1
6,24,1
1,171,1
1,172,1
6,108,1
6,84,1
6,70,1
6,72,1
1,236,1
1,363,1
6,55,1
6,62,1
6,127,1
6,65,1
1,77,1
1,132,1
6,67,1
6,102,1
6,89,1
1,43,1
6,94,1
6,83,1
11,92,1
1,49,1
6,90,1
1,128,1
6,73,1
6,52,1
1,105,1
6,72,1
6,63,1
1,67,1
6,168,1
6,16,1
1,320,1
11,221,1
6,75,1
1,69,1
6,63,1
1,121,1
6,74,1
6,111,1
6,65,1
6,21,1
1,209,1
6,55,1
6,49,1
6,76,1
6,61,1
1,313,1
11,96,1
6,16,1
1,239,1
6,75,1
6,208,1
6,69,1
6,66,1
11,62,1
6,44,1
6,50,1
6,68,1
6,22,1
11,40,1
11,58,1
6,276,1
11,99,1
1,59,1
6,105,1
6,224,1
6,10,1
1,121,1
11,145,1
6,38,1
6,108,1
1,112,1
6,114,1
11,77,1
1,22,1
1,409,1
1,260,1
6,52,1
6,22,1
6,331,1
6,61,1
6,65,1
1,34,1
1,45,1
6,194,1
1,71,1
11,211,1
6,37,1
6,67,1
11,49,1
11,61,1
6,18,1
11,17,1
1,118,1
11,109,1
11,94,1
6,198,1
6,61,1
6,41,1
6,60,1
6,47,1
6,12,1
11,39,1
11,44,1
6,116,1
6,60,1
6,59,1
6,112,1
6,544,1
6,102,1
6,142,1
6,122,1
1,51,1
1,56,1
6,98,1
1,133,1
6,68,1
6,98,1
6,48,1
1,93,1
6,19,1
6,69,1
6,152,1
6,45,1
1,36,1
6,8,1
6,65,1
11,94,1
6,78,1
6,85,1
6,90,1
11,39,1
6,77,1
6,112,1
6,57,1
11,64,1
6,72,1
6,33,1
6,140,1
6,123,1
6,93,1
6,120,1
1,157,1
6,36,1
6,117,1
6,72,1
1,82,1
6,72,1
6,64,1
11,70,1
1,58,1
6,54,1
6,54,1
6,41,1
6,65,1
6,73,1
11,56,1
1,85,1
1,64,1
11,32,1
1,90,1
1,82,1
6,66,1
1,110,1
6,64,1
6,55,1
6,57,1
1,106,1
6,231,1
6,67,1
6,120,1
11,72,1
11,84,1
1,92,1
11,87,1
6,75,1
1,232,1
6,78,1
6,102,1
6,40,1
1,96,1
6,163,1
1,52,1
1,86,1
1,92,1
6,18,1
1,199,1
6,58,1
1,49,1
6,247,1
11,81,1
6,61,1
1,124,1
6,61,1
1,54,1
1,56,1
11,52,1
6,104,1
11,92,1
1,179,1
1,201,1
1,143,1
6,96,1
11,55,1
6,62,1
1,83,1
11,69,1
6,107,1
6,82,1
11,119,1
11,60,1
1,80,1
1,41,1
11,54,1
6,58,1
6,110,1
6,47,1
6,110,1
11,66,1
1,72,1
6,172,1
11,158,1
6,111,1
6,86,1
1,104,1
11,74,1
6,82,1
6,63,1
6,51,1
6,61,1
6,14,1
6,47,1
1,58,1
6,85,1
6,71,1
6,54,1
6,67,1
11,58,1
1,65,1
6,69,1
6,57,1
6,67,1
6,61,1
6,27,1
6,35,1
6,40,1
6,139,1
6,125,1
6,47,1
6,55,1
6,44,1
1,156,1
6,108,1
6,70,1
6,152,1
6,119,1
6,42,1
1,201,1
1,101,1
1,82,1
6,68,1
6,34,1
6,71,1
6,42,1
11,63,1
11,66,1
1,224,1
1,46,1
1,114,1
1,74,1
6,10,1
11,63,1
1,170,1
6,54,1
1,104,1
6,60,1
6,50,1
11,47,1
11,37,1
11,94,1
6,91,1
6,243,1
6,75,1
6,192,1
6,64,1
6,89,1
6,40,1
6,38,1
11,56,1
1,47,1
6,61,1
6,62,1
11,65,1
6,109,1
6,104,1
6,11,1
6,63,1
6,14,1
6,105,1
6,20,1
6,52,1
1,48,1
6,57,1
6,28,1
6,56,1
1,296,1
6,74,1
11,87,1
6,100,1
6,67,1
6,79,1
6,99,1
6,228,1
6,28,1
6,62,1
1,204,1
11,65,1
6,44,1
6,62,1
11,60,1
6,134,1
6,77,1
6,81,1
1,135,1
6,58,1
1,114,1
1,74,1
1,75,1
6,62,1
11,103,1
6,55,1
6,64,1
6,69,1
1,103,1
6,74,1
6,40,1
11,60,1
6,61,1
6,66,1
11,101,1
6,57,1
6,63,1
11,73,1
6,107,1
6,76,1
1,52,1
1,38,1
6,119,1
6,197,1
1,25,1
6,43,1
6,60,1
1,15,1
11,49,1
11,70,1
6,60,1
11,100,1
6,163,1
1,192,1
6,114,1
1,171,1
6,55,1
11,103,1
1,90,1
6,67,1
6,104,1
11,71,1
11,37,1
6,21,1
11,72,1
6,39,1
1,91,1
1,63,1
11,67,1
6,72,1
6,131,1
6,102,1
6,10,1
6,53,1
1,62,1
1,115,1
11,60,1
11,74,1
6,66,1
6,92,1
6,38,1
6,69,1
6,69,1
1,103,1
11,62,1
11,70,1
1,125,1
6,62,1
6,132,1
11,65,1
1,214,1
6,107,1
11,74,1
11,66,1
1,66,1
11,121,1
6,96,1
6,199,1
11,73,1
6,102,1
1,240,1
11,48,1
6,71,1
6,72,1
6,58,1
6,37,1
6,60,1
6,74,1
11,54,1
11,81,1
1,63,1
11,58,1
1,26,1
1,55,1
11,25,1
6,68,1
1,139,1
1,77,1
1,23,1
11,70,1
1,89,1
1,23,1
1,70,1
6,118,1
11,137,1
6,56,1
6,107,1
6,108,1
6,52,1
6,56,1
6,22,1
6,107,1
6,116,1
1,99,1
1,101,1
6,54,1
6,111,1
6,106,1
6,60,1
6,40,1
1,126,1
6,48,1
11,82,1
6,28,1
1,78,1
6,75,1
1,90,1
6,205,1
6,57,1
6,62,1
6,58,1
6,66,1
6,131,1
11,60,1
6,33,1
6,50,1
6,68,1
6,47,1
6,58,1
6,59,1
1,116,1
1,93,1
6,53,1
1,112,1
11,95,1
6,61,1
1,125,1
6,94,1
6,68,1
1,144,1
1,110,1
6,16,1
1,216,1
11,48,1
11,83,1
6,120,1
1,129,1
1,70,1
1,93,1
1,220,1
6,42,1
11,53,1
6,71,1
6,168,1
6,63,1
6,77,1
11,41,1
6,71,1
6,165,1
6,75,1
6,41,1
6,63,1
11,129,1
6,84,1
6,69,1
1,106,1
6,49,1
6,70,1
11,91,1
1,27,1
1,34,1
6,69,1
1,45,1
1,107,1
6,188,1
1,62,1
6,36,1
1,77,1
1,47,1
6,95,1
6,41,1
6,64,1
1,86,1
6,45,1
6,117,1
1,67,1
6,54,1
1,149,1
6,113,1
6,127,1
6,94,1
6,103,1
11,22,1
1,94,1
6,38,1
11,72,1
1,168,1
6,36,1
6,142,1
11,80,1
6,79,1
11,419,1
6,102,1
6,208,1
1,222,1
6,63,1
11,131,1
6,135,1
6,60,1
6,131,1
6,73,1
6,53,1
6,64,1
1,70,1
6,63,1
6,66,1
6,32,1
6,57,1
6,58,1
6,69,1
6,72,1
6,61,1
1,49,1
1,76,1
6,65,1
6,66,1
1,110,1
1,385,1
1,77,1
6,84,1
6,77,1
6,58,1
6,62,1
1,124,1
6,28,1
6,78,1
6,159,1
6,46,1
1,284,1
1,107,1
11,51,1
6,66,1
1,65,1
6,68,1
6,60,1
11,95,1
6,107,1
6,59,1
11,34,1
11,121,1
1,62,1
6,68,1
6,40,1
6,56,1
11,61,1
6,17,1
6,39,1
11,51,1
11,47,1
1,108,1
6,57,1
6,57,1
6,83,1
1,75,1
1,86,1
6,113,1
1,151,1
1,306,1
11,15,1
1,55,1
6,73,1
1,207,1
6,115,1
6,107,1
6,47,1
6,63,1
6,79,1
11,120,1
6,61,1
6,54,1
6,66,1
1,72,1
11,65,1
6,3,1
11,191,1
6,27,1
6,370,1
6,51,1
6,56,1
1,122,1
1,110,1
6,65,1
6,69,1
1,314,1
1,27,1
11,90,1
6,45,1
6,95,1
1,59,1
11,273,1
6,66,1
6,124,1
11,52,1
11,121,1
6,53,1
6,91,1
6,63,1
11,47,1
6,24,1
6,113,1
11,60,1
6,63,1
11,37,1
1,45,1
1,50,1
6,179,1
6,67,1
6,64,1
6,59,1
1,82,1
6,166,1
1,139,1
6,109,1
1,67,1
6,74,1
11,19,1
6,56,1
6,79,1
6,65,1
6,68,1
1,83,1
6,108,1
6,83,1
6,192,1
6,61,1
6,92,1
1,129,1
1,314,1
11,170,1
11,73,1
6,67,1
6,69,1
1,56,1
6,75,1
6,105,1
6,44,1
1,45,1
6,133,1
6,108,1
6,84,1
6,76,1
6,104,1
11,42,1
6,98,1
6,58,1
6,110,1
6,109,1
6,99,1
6,72,1
1,222,1
1,163,1
6,74,1
6,50,1
11,86,1
11,60,1
1,76,1
1,59,1
1,272,1
1,178,1
1,221,1
1,21,1
6,185,1
11,120,1
6,96,1
6,96,1
6,56,1
6,123,1
1,37,1
6,110,1
1,98,1
6,29,1
1,85,1
6,34,1
11,34,1
11,65,1
1,125,1
6,138,1
6,84,1
6,52,1
11,56,1
1,63,1
6,67,1
6,52,1
6,63,1
6,55,1
6,87,1
6,59,1
6,61,1
6,81,1
1,70,1
11,48,1
11,62,1
1,287,1
6,33,1
6,77,1
1,56,1
1,83,1
6,65,1
1,118,1
11,72,1
1,38,1
6,73,1
6,69,1
6,83,1
11,67,1
6,65,1
11,122,1
6,45,1
11,178,1
6,72,1
6,116,1
6,70,1
6,76,1
6,58,1
1,104,1
1,59,1
6,68,1
6,136,1
6,39,1
11,59,1
6,75,1
6,70,1
1,53,1
1,131,1
1,101,1
6,60,1
11,74,1
11,116,1
1,128,1
6,55,1
1,63,1
6,360,1
6,78,1
1,42,1
6,65,1
1,40,1
1,53,1
1,67,1
6,76,1
6,76,1
6,66,1
6,74,1
11,51,1
6,56,1
6,33,1
6,62,1
6,44,1
11,112,1
1,12,1
11,87,1
6,196,1
1,51,1
1,33,1
1,66,1
6,60,1
1,103,1
6,47,1
1,58,1
1,143,1
6,61,1
6,132,1
11,142,1
6,67,1
6,67,1
6,57,1
6,56,1
11,53,1
1,48,1
6,59,1
6,35,1
11,72,1
6,125,1
6,155,1
6,72,1
6,48,1
6,62,1
6,68,1
11,41,1
1,124,1
6,53,1
6,17,1
6,85,1
1,145,1
6,53,1
6,35,1
1,210,1
1,129,1
6,90,1
1,54,1
6,93,1
6,135,1
6,56,1
1,116,1
6,58,1
6,111,1
11,13,1
11,95,1
6,7,1
1,67,1
6,103,1
11,53,1
6,41,1
11,120,1
11,106,1
11,97,1
6,75,1
1,148,1
1,78,1
6,57,1
6,47,1
6,135,1
6,81,1
1,67,1
6,91,1
6,63,1
6,62,1
6,173,1
11,89,1
6,94,1
6,65,1
1,78,1
6,46,1
11,79,1
6,75,1
6,75,1
11,66,1
1,41,1
1,34,1
6,47,1
11,64,1
1,77,1
1,80,1
1,83,1
1,67,1
6,71,1
6,16,1
11,93,1
6,61,1
1,108,1
11,71,1
6,118,1
6,81,1
1,52,1
6,68,1
11,57,1
6,62,1
1,105,1
6,67,1
1,488,1
1,101,1
6,72,1
1,69,1
6,101,1
6,239,1
6,88,1
6,292,1
6,60,1
1,78,1
11,60,1
6,48,1
6,58,1
11,40,1
1,65,1
6,66,1
1,45,1
6,62,1
1,103,1
1,50,1
6,127,1
6,74,1
1,86,1
6,122,1
11,26,1
1,265,1
1,51,1
6,65,1
6,61,1
6,218,1
6,155,1
11,43,1
6,73,1
6,222,1
6,116,1
1,103,1
6,111,1
1,82,1
11,64,1
6,83,1
1,375,1
6,59,1
11,28,1
1,48,1
11,37,1
1,60,1
11,293,1
6,74,1
6,99,1
6,40,1
1,93,1
11,70,1
11,75,1
11,38,1
6,40,1
6,104,1
11,48,1
1,98,1
11,68,1
6,51,1
6,39,1
6,54,1
11,56,1
1,278,1
6,58,1
11,46,1
1,66,1
6,66,1
11,48,1
11,71,1
6,62,1
6,67,1
6,204,1
1,62,1
6,86,1
11,119,1
11,63,1
6,35,1
6,37,1
6,58,1
11,71,1
1,65,1
1,327,1
6,146,1
6,70,1
1,80,1
6,246,1
6,65,1
6,48,1
1,159,1
6,61,1
6,51,1
6,70,1
6,68,1
1,77,1
6,29,1
1,175,1
1,16,1
6,114,1
1,215,1
11,70,1
1,78,1
6,189,1
11,18,1
11,18,1
6,44,1
11,57,1
6,37,1
6,52,1
6,48,1
1,108,1
11,67,1
6,75,1
6,43,1
6,63,1
6,57,1
1,104,1
1,48,1
6,34,1
6,109,1
6,106,1
6,92,1
6,81,1
6,135,1
1,65,1
6,71,1
11,147,1
1,64,1
11,60,1
6,92,1
6,53,1
6,151,1
6,75,1
1,144,1
1,57,1
6,38,1
6,59,1
6,61,1
11,72,1
1,53,1
6,326,1
6,61,1
6,178,1
1,245,1
11,78,1
11,101,1
6,574,1
1,107,1
6,126,1
6,69,1
6,42,1
6,74,1
6,43,1
1,48,1
1,48,1
6,69,1
1,130,1
6,184,1
6,29,1
6,118,1
6,47,1
6,44,1
6,7,1
6,87,1
6,80,1
6,164,1
11,144,1
6,22,1
1,88,1
6,61,1
1,36,1
1,175,1
6,94,1
6,64,1
1,145,1
1,50,1
1,90,1
11,104,1
6,14,1
6,51,1
1,32,1
6,95,1
6,36,1
6,47,1
6,36,1
6,85,1
6,358,1
6,38,1
11,140,1
6,104,1
6,57,1
6,62,1
6,21,1
6,34,1
6,116,1
11,66,1
6,54,1
11,68,1
6,29,1
1,106,1
6,111,1
1,210,1
6,13,1
6,64,1
6,83,1
1,105,1
6,103,1
1,127,1
6,95,1
11,7,1
1,68,1
6,20,1
6,73,1
6,70,1
6,80,1
6,58,1
6,98,1
6,36,1
6,61,1
11,80,1
6,67,1
6,26,1
6,199,1
6,27,1
6,59,1
6,67,1
6,98,1
6,80,1
6,67,1
6,81,1
1,98,1
6,79,1
1,20,1
6,229,1
1,139,1
1,172,1
6,101,1
1,189,1
6,160,1
6,73,1
6,24,1
11,65,1
6,69,1
11,45,1
6,66,1
6,111,1
1,109,1
6,137,1
6,41,1
6,55,1
6,75,1
6,64,1
6,173,1
11,99,1
11,59,1
11,27,1
6,64,1
6,104,1
6,101,1
6,65,1
11,35,1
11,36,1
6,88,1
6,135,1
6,30,1
6,35,1
6,64,1
6,122,1
11,106,1
6,70,1
6,89,1
1,87,1
1,102,1
6,65,1
6,67,1
6,19,1
11,79,1
6,37,1
6,364,1
6,127,1
6,64,1
6,52,1
6,27,1
6,52,1
1,106,1
6,59,1
6,73,1
6,91,1
1,61,1
6,85,1
6,64,1
6,315,1
11,57,1
6,119,1
6,46,1
6,122,1
6,71,1
6,66,1
6,68,1
6,63,1
11,10,1
6,49,1
6,71,1
11,102,1
6,36,1
6,60,1
1,300,1
1,441,1
6,82,1
6,41,1
6,13,1
6,69,1
1,377,1
1,81,1
6,35,1
6,23,1
1,14,1
11,44,1
6,77,1
6,68,1
6,87,1
11,82,1
6,12,1
1,332,1
6,52,1
6,89,1
1,272,1
6,53,1
6,86,1
1,95,1
6,73,1
6,58,1
11,117,1
6,51,1
6,72,1
6,67,1
6,64,1
6,84,1
6,72,1
6,60,1
1,80,1
1,93,1
6,74,1
6,63,1
6,62,1
6,88,1
6,203,1
11,58,1
6,247,1
6,66,1
6,311,1
11,63,1
1,68,1
6,52,1
6,73,1
6,65,1
6,23,1
6,108,1
6,55,1
6,51,1
6,61,1
6,73,1
6,76,1
6,119,1
6,96,1
6,50,1
6,83,1
6,62,1
6,113,1
6,77,1
6,44,1
1,338,1
6,95,1
1,112,1
6,30,1
6,41,1
6,66,1
6,219,1
6,64,1
6,59,1
1,114,1
1,382,1
1,97,1
6,135,1
11,31,1
11,26,1
6,63,1
1,144,1
6,79,1
6,73,1
6,160,1
6,119,1
11,164,1
6,125,1
11,35,1
6,22,1
1,27,1
11,131,1
6,44,1
6,84,1
11,88,1
6,88,1
6,132,1
6,134,1
11,113,1
1,141,1
6,76,1
1,230,1
1,95,1
1,65,1
6,23,1
6,29,1
6,55,1
1,62,1
6,75,1
6,59,1
6,147,1
11,71,1
6,154,1
11,83,1
6,126,1
11,49,1
6,106,1
6,67,1
1,100,1
1,138,1
6,298,1
11,451,1
6,249,1
6,78,1
6,52,1
6,120,1
6,73,1
6,109,1
1,154,1
6,59,1
6,81,1
6,97,1
1,67,1
6,159,1
6,333,1
11,10,1
6,86,1
6,124,1
6,113,1
6,76,1
6,46,1
11,37,1
11,68,1
6,100,1
6,68,1
6,64,1
6,136,1
6,74,1
6,74,1
6,77,1
6,89,1
6,82,1
6,73,1
6,68,1
6,111,1
1,122,1
11,136,1
6,66,1
6,34,1
1,133,1
6,49,1
6,64,1
6,114,1
6,42,1
11,61,1
6,38,1
1,289,1
1,270,1
6,156,1
6,79,1
11,70,1
11,85,1
1,232,1
11,66,1
1,122,1
6,10,1
6,80,1
6,23,1
6,41,1
11,119,1
6,15,1
11,193,1
6,43,1
1,103,1
1,52,1
6,48,1
1,156,1
1,62,1
6,113,1
1,130,1
1,92,1
6,18,1
1,92,1
6,112,1
6,80,1
11,114,1
1,118,1
6,46,1
11,308,1
11,111,1
6,195,1
6,70,1
6,232,1
1,133,1
6,65,1
6,77,1
6,65,1
6,111,1
6,7,1
6,92,1
6,74,1
6,12,1
6,26,1
6,91,1
6,21,1
6,61,1
6,132,1
6,108,1
11,68,1
11,31,1
1,145,1
6,65,1
1,66,1
6,185,1
6,62,1
11,36,1
6,104,1
6,10,1
6,60,1
6,134,1
1,146,1
6,60,1
6,72,1
6,106,1
1,75,1
6,119,1
6,135,1
1,45,1
6,30,1
6,85,1
11,65,1
6,53,1
6,43,1
6,70,1
6,250,1
6,128,1
6,70,1
6,96,1
6,76,1
6,76,1
6,72,1
6,75,1
6,67,1
6,77,1
6,57,1
6,98,1
6,73,1
6,95,1
6,158,1
1,67,1
11,42,1
6,141,1
11,65,1
11,73,1
6,56,1
6,79,1
6,78,1
6,35,1
6,80,1
6,55,1
6,68,1
1,81,1
6,41,1
1,84,1
6,63,1
6,129,1
6,46,1
6,40,1
6,30,1
6,58,1
6,48,1
6,59,1
11,23,1
6,91,1
1,140,1
6,47,1
6,43,1
1,80,1
1,45,1
6,172,1
6,51,1
6,85,1
6,184,1
6,68,1
6,117,1
1,62,1
11,74,1
11,61,1
6,11,1
11,7,1
1,95,1
6,44,1
6,174,1
11,419,1
6,99,1
6,65,1
6,102,1
6,123,1
6,66,1
6,74,1
6,75,1
6,58,1
6,71,1
6,99,1
6,126,1
6,57,1
11,41,1
6,48,1
1,90,1
1,65,1
1,83,1
6,170,1
1,112,1
1,184,1
1,130,1
1,183,1
1,87,1
6,77,1
1,44,1
6,52,1
11,38,1
6,71,1
6,72,1
6,68,1
1,57,1
6,199,1
1,75,1
11,47,1
6,22,1
6,72,1
11,158,1
6,87,1
6,27,1
11,111,1
6,54,1
6,117,1
6,67,1
6,111,1
6,49,1
6,47,1
6,87,1
6,134,1
6,117,1
6,68,1
6,65,1
6,74,1
6,18,1
1,129,1
6,30,1
6,38,1
1,81,1
6,23,1
6,128,1
6,75,1
6,129,1
6,65,1
6,139,1
6,82,1
6,45,1
6,70,1
11,69,1
11,276,1
1,249,1
6,113,1
11,85,1
6,44,1
6,60,1
1,86,1
6,33,1
6,80,1
6,108,1
6,111,1
11,206,1
6,78,1
6,35,1
6,70,1
6,17,1
6,108,1
6,61,1
6,66,1
6,35,1
6,72,1
6,116,1
1,211,1
6,70,1
11,8,1
11,80,1
6,67,1
6,113,1
6,63,1
6,48,1
6,75,1
1,550,1
6,80,1
11,58,1
1,122,1
6,58,1
6,73,1
6,22,1
6,113,1
1,56,1
6,91,1
6,71,1
1,68,1
1,437,1
6,107,1
6,221,1
6,23,1
6,60,1
11,73,1
6,78,1
6,50,1
1,75,1
6,107,1
1,171,1
11,86,1
6,61,1
6,69,1
6,84,1
1,59,1
11,88,1
1,31,1
1,19,1
1,39,1
6,104,1
6,64,1
6,176,1
6,60,1
11,89,1
6,178,1
1,118,1
11,21,1
1,40,1
6,26,1
6,93,1
6,65,1
6,89,1
6,181,1
6,65,1
6,36,1
1,137,1
6,70,1
6,62,1
6,29,1
11,61,1
1,59,1
6,25,1
6,41,1
11,84,1
6,74,1
6,62,1
11,107,1
6,36,1
6,64,1
6,89,1
1,69,1
11,62,1
11,82,1
1,77,1
6,36,1
11,54,1
6,106,1
6,57,1
1,110,1
1,70,1
11,86,1
6,31,1
6,57,1
6,82,1
6,37,1
6,10,1
1,330,1
6,42,1
6,64,1
6,17,1
1,103,1
6,97,1
11,102,1
1,105,1
1,91,1
1,70,1
1,103,1
1,84,1
6,65,1
1,73,1
1,79,1
11,98,1
1,73,1
1,116,1
1,115,1
6,16,1
6,28,1
6,75,1
6,54,1
6,75,1
6,93,1
6,63,1
6,97,1
6,59,1
6,31,1
6,44,1
6,103,1
1,132,1
6,115,1
11,68,1
6,290,1
11,38,1
6,66,1
6,147,1
6,43,1
11,81,1
6,117,1
1,101,1
1,105,1
6,73,1
11,96,1
6,58,1
6,65,1
6,115,1
1,122,1
1,128,1
6,64,1
6,67,1
6,55,1
6,55,1
6,60,1
6,54,1
1,219,1
6,15,1
6,397,1
1,161,1
11,48,1
6,46,1
6,75,1
1,118,1
1,27,1
6,66,1
6,133,1
6,92,1
11,93,1
1,225,1
11,105,1
6,123,1
11,72,1
6,93,1
6,107,1
6,88,1
6,86,1
1,43,1
1,33,1
1,102,1
6,55,1
6,225,1
1,142,1
11,89,1
11,79,1
1,85,1
1,52,1
11,66,1
6,155,1
6,138,1
1,358,1
6,71,1
6,100,1
1,175,1
6,80,1
6,136,1
6,36,1
6,78,1
6,22,1
6,290,1
6,8,1
1,44,1
6,52,1
6,80,1
11,92,1
11,304,1
6,44,1
6,58,1
1,395,1
6,64,1
6,89,1
1,105,1
1,86,1
1,52,1
6,80,1
1,86,1
1,88,1
6,91,1
6,62,1
11,34,1
1,243,1
6,56,1
1,69,1
6,86,1
